year,900,900-1200,1200-1500,1500-1700,1700-1900,1900-2100,2100,,MJ/L/KM,,,year,900,900-1200,1200-1500,1500-1700,1700-1900,1900-2100,2100
2018,4.99,4.86,5.263333333,5.93,6.025,6.23,8.125,,0.336520755,,,2018,1.679238566,1.635490868,1.771220906,1.995568075,2.027537547,2.096524302,2.096524302
2017,4.6,4.72,5.173333333,5.855,6.05,6.16,8.09,,,,,2017,1.547995472,1.588377962,1.740934038,1.970329019,2.035950566,2.072967849,2.096524302
2016,4.56,5.033333333,5.166666667,5.86,6.24,6.36,7.77,,,,,2016,1.534534642,1.693821132,1.738690566,1.972011623,2.099889509,2.140272,2.096524302
2015,5.11,4.833333333,5.136666667,5.79,6.28,6.46,7.815,,,,,2015,1.719621057,1.626516981,1.728594943,1.94845517,2.11335034,2.173924075,2.096524302
2014,4.87,4.86,5.283333333,5.985,6.2,5.95,7.9,,,,,2014,1.638856075,1.635490868,1.777951321,2.014076717,2.086428679,2.002298491,2.096524302
2013,4.78,4.85,5.526666667,6.51,6.51,6.8,7.76,,,,,2013,1.608569208,1.63212566,1.859838038,2.190750113,2.190750113,2.288341132,2.096524302
2012,4.1,4.946666667,5.613333333,6.12,6.54,6.78,8.355,,,,,2012,1.379735094,1.664656,1.88900317,2.059507019,2.200845736,2.281610717,2.096524302
2011,4.2,5.113333333,5.72,6.6,6.975,7.13,8.615,,,,,2011,1.41338717,1.720742792,1.924898717,2.221036981,2.347232264,2.399392981,2.096524302
2010,4.91,5.186666667,6.173333333,6.7,7.175,7.22,9.38,,,,,2010,1.652316906,1.745420981,2.077454792,2.254689057,2.414536415,2.429679849,2.096524302
2009,5.16,5.456666667,6.34,6.835,7.465,7.56,9.2,,,,,2009,1.736447094,1.836281585,2.133541585,2.300119358,2.512127434,2.544096906,2.096524302
2008,5.33,5.573333333,6.32,7.06,8.19,7.67,9.62,,,,,2008,1.793655623,1.87554234,2.12681117,2.375836528,2.756104981,2.581114189,2.096524302
2007,5.4,5.59,6.433333333,7.185,7.645,8.09,9.64,,,,,2007,1.817212075,1.881151019,2.164950189,2.417901623,2.57270117,2.722452906,2.096524302
2006,5.42,5.61,6.3,7.395,8.15,8.09,9.72,,,,,2006,1.823942491,1.887881434,2.120080755,2.488570981,2.742644151,2.722452906,2.096524302
2005,5.19,5.623333333,6.496666667,7.605,7.95,8.46,10.135,,,,,2005,1.746542717,1.892368377,2.18626317,2.55924034,2.67534,2.846965585,2.096524302
2004,5.42,5.693333333,6.58,7.495,8.435,8.48,10.17,,,,,2004,1.823942491,1.91592483,2.214306566,2.522223057,2.838552566,2.853696,2.096524302
2003,5.61,5.816666667,6.546666667,6.21,8.185,8.61,10.08,,,,,2003,1.887881434,1.957429057,2.203089208,2.089793887,2.754422377,2.897443698,2.096524302
2002,6.1,5.696666667,6.593333333,6.52,7.92,8.85,10.325,,,,,2002,2.052776604,1.917046566,2.218793509,2.194115321,2.665244377,2.978208679,2.096524302
2001,6.1,5.953333333,6.62,7.225,7.845,9.11,10.335,,,,,2001,2.052776604,2.003420226,2.227767396,2.431362453,2.640005321,3.065704075,2.096524302
2000,6.1,6.133333333,6.726666667,7.365,8.21,9.13,10.475,,,,,2000,2.052776604,2.063993962,2.263662943,2.478475358,2.762835396,3.072434491,2.096524302
1999,6.19,6.196666667,6.773333333,7.4,8.215,9.29,10.57,,,,,1999,2.083063472,2.085306943,2.279367245,2.490253585,2.764518,3.126277811,2.096524302
1998,6.27,6.263333333,6.81,7.425,8.28,9.43,10.67,,,,,1998,2.109985132,2.10774166,2.29170634,2.498666604,2.786391849,3.173390717,2.096524302
1997,6.37,6.333333333,6.866666667,7.43,8.295,9.58,10.775,,,,,1997,2.143637208,2.131298113,2.310775849,2.500349208,2.79143966,3.22386883,2.096524302
1996,6.5,6.416666667,6.906666667,7.41,8.33,9.7,10.845,,,,,1996,2.187384906,2.159341509,2.324236679,2.493618792,2.803217887,3.264251321,2.096524302
1995,6.62,6.493333333,6.943333333,7.395,8.32,9.84,10.925,,,,,1995,2.227767396,2.185141434,2.336575774,2.488570981,2.799852679,3.311364226,2.096524302
1994,6.73,6.573333333,6.986666667,7.53,8.33,9.97,11.015,,,,,1994,2.264784679,2.212063094,2.35115834,2.534001283,2.803217887,3.355111925,2.096524302
1993,6.8,6.666666667,7.033333333,7.64,8.38,10.1,11.095,,,,,1993,2.288341132,2.243471698,2.366862642,2.571018566,2.820043925,3.398859623,2.096524302
1992,6.88,6.746666667,7.08,7.69,8.44,10.21,11.175,,,,,1992,2.315262792,2.270393358,2.382566943,2.587844604,2.84023517,3.435876906,2.096524302
1991,6.97,6.816666667,7.12,7.725,8.465,10.33,11.255,,,,,1991,2.34554966,2.293949811,2.396027774,2.59962283,2.848648189,3.476259396,2.096524302
1990,7.05,6.886666667,7.156666667,7.76,8.49,10.44,11.33,,,,,1990,2.372471321,2.317506264,2.408366868,2.611401057,2.857061208,3.513276679,2.096524302
