year,900,900 - 1200,1201 - 1500,1501 - 1700,1701-1900,1901-2100,2100
2005,9648.0,33312.0,23859.105277401894,18416.2925006672,27568.937878305194,27630.0,22107.88655126498
2004,9459.0,0.0,23429.070249682605,19269.87867975022,26928.622419996213,27089.0,21592.246809189535
2003,9273.0,0.0,23526.48611812216,23878.471698113208,26378.212968244912,26558.0,21157.921064400714
2002,0.0,0.0,23151.207190160832,23438.125,25866.968421052632,26037.0,20742.917647058825
2001,8913.0,30775.0,21658.221238938055,22843.745945945946,25358.524595612675,25526.0,20342.955658034763
2000,8739.0,19118.5,21317.303571428572,21663.92121212121,24732.07202136793,25026.0,19886.42255169723
1999,8567.0,22573.2,20691.0,21732.46896551724,24225.47888848791,24535.0,22440.88489208633
1998,8399.0,28259.363636363636,21186.28947368421,20400.542056074766,23694.54584092289,24054.0,22294.906790945406
1997,0.0,26290.5,20462.615384615383,20373.643410852714,23205.86384319216,23582.0,21853.876195536664
1996,8073.0,27874.0,19561.333333333332,20547.20151869159,22664.37058445729,23120.0,21440.24751929438
1995,0.0,24768.0,19205.496598639456,20068.222222222223,22192.55391776571,22667.0,21029.6
1994,0.0,15677.217391304348,19206.76712328767,19883.65707434053,21844.842105263157,22222.0,20525.63829787234
1993,0.0,14628.097222222223,18908.237288135595,18847.745679012347,21484.331125827815,21786.0,20262.604278074865
1992,7458.0,14987.059701492537,18225.830188679247,15544.059805285118,20838.49504950495,21359.0,20051.65284974093
1991,7312.0,17016.325,17746.052631578947,13938.581081081082,20014.394077448746,20940.0,19592.706766917294
1990,7169.0,14018.2,17399.37837837838,13797.952380952382,19719.54485049834,20530.0,19173.061855670105
1989,7028.0,13795.867924528302,16970.0625,13346.1412803532,19502.180722891568,20127.0,18787.286783042393
