year,no_on_road,number_cars,with_on_road_factor
2001,496644990.0,1205308,619923870.0
2002,521567250.0,1255441,653283870.0
2003,544186050.0,1303389,682849590.0
2004,564527670.0,1360815,709324110.0
2005,582729240.0,1415400,733373880.0
2006,610236210.0,1486732,770350890.0
2007,630582330.0,1541852,798251910.0
2008,641652750.0,1531741,814727610.0
2009,636668790.0,1469704,810927090.0
2010,595048830.0,1379889,758773770.0
2011,569352210.0,1314367,725627790.0
2012,543183240.0,1245203,691866300.0
2013,524275380.0,1199451,667508340.0
2014,502106490.0,1148911,638581950.0
2015,478759230.0,1099453,607704990.0
2016,449963820.0,1032806,569133720.0
2017,416021040.0,962775,523958340.0
2018,391111050.0,906259,490126290.0
